Date,TAIEX2001,DJIA2001,Close,SP500_2001
2000/11/16,5454.129883,10494.5,2871.449951,1347.349976
2000/11/17,5351.359863,10399.32031,2755.340088,1322.359985
2000/11/20,4845.209961,10470.23047,2904.379883,1341.77002
2000/11/21,5103,10546.07031,2880.48999,1348.969971
2000/11/22,5130.609863,10507.58008,2734.97998,1336.089966
2000/11/23,5146.919922,10629.11035,2706.929932,1341.930054
2000/11/24,5419.990234,10414.49023,2597.929932,1314.949951
2000/11/27,5433.779785,10373.54004,2645.290039,1315.22998
2000/11/28,5362.259766,10560.9502,2615.75,1324.969971
2000/11/29,5319.459961,10898.71973,2889.800049,1376.540039
2000/11/30,5256.930176,10664.37988,2796.5,1351.459961
2000/12/1,5342.060059,10617.36035,2752.659912,1343.550049
2000/12/4,5174.02002,10712.91016,2917.429932,1369.890015
2000/12/5,5199.200195,10725.79981,3015.100098,1380.199951
2000/12/6,5170.620117,10768.26953,2931.77002,1371.180054
2000/12/7,5212.72998,10794.44043,2822.77002,1359.98999
2000/12/8,5252.830078,10674.99023,2728.51001,1340.930054
2000/12/11,5284.410156,10434.95996,2653.27002,1312.150024
2000/12/12,5380.089844,10645.41992,2624.52002,1322.73999
2000/12/13,5384.359863,10584.37012,2511.709961,1305.599976
2000/12/14,5320.160156,10318.92969,2332.780029,1264.73999
2000/12/15,5224.740234,10487.29004,2340.120117,1274.859985
2000/12/18,5055.200195,10635.55957,2517.02002,1305.949951
2000/12/19,5040.25,10692.44043,2493.52002,1315.189941
2000/12/20,4947.890137,10803.16016,2539.350098,1328.920044
2000/12/21,4817.220215,10868.75977,2557.76001,1334.219971
2000/12/22,4811.220215,10787.99023,2470.52002,1320.280029
2000/12/25,null,10646.15039,2291.860107,1283.27002
2000/12/26,4721.359863,10945.75,2616.689941,1347.560059
2000/12/27,4614.629883,10912.41016,2566.830078,1333.339966
2000/12/28,4797.140137,10662.00977,2407.649902,1298.349976
2000/12/29,4743.939941,10621.34961,2395.919922,1295.859985
2001/1/1,null,10572.54981,2441.300049,1300.800049
2001/1/2,4935.279785,10604.26953,2524.179932,1313.27002
2001/1/3,4894.790039,10609.54981,2640.570068,1326.819946
2001/1/4,5136.129883,10525.37988,2626.5,1318.550049
2001/1/5,5295.529785,10652.66016,2618.550049,1326.650024
2001/1/8,5188.509766,10584.33984,2682.780029,1329.469971
2001/1/9,5376.120117,10678.28027,2768.48999,1347.969971
2001/1/10,5436.779785,10587.58984,2770.379883,1342.540039
2001/1/11,5369.240234,10578.24023,2757.909912,1342.900024
2001/1/12,5339.399902,10649.80957,2840.389893,1360.400024
2001/1/15,5379.660156,10646.96973,2859.149902,1364.300049
2001/1/16,5662.939941,10729.51953,2754.280029,1357.51001
2001/1/17,5769.950195,10659.98047,2781.300049,1354.949951
2001/1/18,5847.910156,10702.19043,2838.340088,1364.170044
2001/1/19,null,10881.2002,2838.350098,1373.72998
2001/1/22,null,10887.36035,2772.72998,1366.01001
2001/1/23,null,10983.62988,2782.790039,1373.469971
2001/1/24,null,10864.09961,2660.5,1349.469971
2001/1/25,null,10965.84961,2643.209961,1354.310059
2001/1/26,null,10957.41992,2664.48999,1352.26001
2001/1/29,5680.060059,10946.71973,2607.820068,1340.890015
2001/1/30,5792.5,10880.54981,2562.060059,1332.530029
2001/1/31,5936.200195,10781.4502,2470.969971,1314.76001
2001/2/1,5897.930176,10946.76953,2489.659912,1330.310059
