Date,^BSVP,DJI,N225,SSEC
2006/6/15,33555,10928.09961,14750.83984,1548.494995
2006/6/16,32848,10868.37988,14833.00977,1531.327026
2006/6/19,32941,11051.04981,14218.59961,1533.97998
2006/6/20,null,11103.70996,14309.55957,1574.467041
2006/6/21,34399,11102.50977,14470.75977,1586.286011
2006/6/22,33897,11100.42969,14879.33984,1592.332031
2006/6/23,33632,11219.7002,14860.34961,1598.115967
2006/6/26,34547,11185.67969,14648.41016,1596.06604
2006/6/27,34317,11125.73047,14644.25977,1605.71106
2006/6/28,34661,11199.92969,15135.69043,1633.448975
2006/6/29,34631,11242.58984,15124.04004,1639.551025
2006/6/30,34376,11240.34961,15152.40039,1639.286011
2006/7/3,34835,11219.37988,15171.80957,1671.618042
2006/7/4,36487,11173.58984,14886.11035,1672.21106
2006/7/5,36631,11076.17969,15121.15039,1697.281982
2006/7/6,37357,11124.37012,15505.17969,1681.546997
2006/7/7,37367,11088.03027,15571.62012,1718.555054
2006/7/10,36378,11097.87012,15638.5,1741.469971
2006/7/11,36533,11230.25977,15523.94043,1730.189941
2006/7/12,36102,11327.12012,15321.40039,1734.328979
2006/7/13,36141,11334.95996,15307.61035,1745.80603
2006/7/14,36554,11381.46973,15552.80957,1740
2006/7/17,36230,11345.04981,15473.82031,1655.772949
2006/7/18,35354,11339.83984,15249.32031,1665.208008
2006/7/19,35350,11297.90039,15097.9502,1682.886963
2006/7/20,34866,11304.45996,14845.24023,1684.251953
2006/7/21,35130,11284.04981,null,1645.160034
2006/7/24,36785,11352.00977,14437.24023,1655.121948
2006/7/25,35847,11369.94043,14500.25977,1665.328003
2006/7/26,35510,11382.91016,14946.83984,1665.94397
2006/7/27,36224,11381.15039,14821.25977,1685.46106
2006/7/28,36681,11464.15039,14794.5,1686.654053
2006/7/31,36594,11469.28027,15005.24023,1675.167969
2006/8/1,36888,11406.2002,14884.07031,1662.031006
2006/8/2,37381,11331.44043,15179.78027,1612.733032
2006/8/3,37077,11392.11035,15342.87012,1600.614014
2006/8/4,36839,11396.83984,15456.80957,1600.871948
2006/8/7,37288,11498.08984,15440.91016,1601.057983
2006/8/8,37451,11543.32031,15464.29004,1570.150024
2006/8/9,37848,11527.38965,15470.37012,1547.436035
2006/8/10,37698,11560.76953,15499.17969,1580.577026
2006/8/11,37600,11555,15154.05957,1578.56604
2006/8/14,37255,11540.91016,15464.66016,1606.064941
2006/8/15,37354,11613.19043,15656.58984,1605.926025
2006/8/16,36944,11533.23047,15630.91016,1570.738037
2006/8/17,36557,11508.09961,15565.01953,1595.656982
2006/8/18,37296,11575.80957,15857.11035,1616.410034
2006/8/21,37678,11669.38965,15816.19043,1603.332031
2006/8/22,37559,11689.24023,16071.36035,1598.017944
2006/8/23,37552,11718.4502,16020.83984,1601.150024
2006/8/24,37161,11679.07031,16105.98047,1613.35498
2006/8/25,36678,11670.34961,15969.04004,1612.395996
2006/8/28,35512,11727.33984,16181.16992,1623.016968
2006/8/29,35797,11850.61035,16163.03027,1623.034058
2006/8/30,35958,11866.69043,15960.62012,1650.437988
2006/8/31,36375,11850.20996,15938.66016,1651.024048
2006/9/1,36304,11857.80957,15762.58984,1655.194946
2006/9/4,36313,11867.16992,15890.55957,1658.637939
2006/9/5,36232,11852.12988,15872.01953,1636.69104
2006/9/6,37329,11947.7002,16140.75977,1657.52002
2006/9/7,37693,11960.50977,16134.25,1664.078003
2006/9/8,37368,11980.59961,16358.07031,1672.120972
2006/9/11,36710,11950.01953,16385.96094,1661.189941
2006/9/12,null,11992.67969,16284.08984,1667.984009
2006/9/13,36558,12011.73047,16012.41016,1674.965942
2006/9/14,35772,12002.37012,16080.45996,1695.862061
2006/9/15,36147,12116.91016,15794.37988,1689.389038
2006/9/18,36550,12127.87988,15719.33984,1689.692017
2006/9/19,36154,12134.67969,15750.04981,1721.045044
2006/9/20,36170,12163.66016,15942.38965,1732.987061
2006/9/21,36483,12090.25977,15866.92969,1735.240967
2006/9/22,35886,12086.5,null,1732.453003
2006/9/25,35197,12080.73047,15874.28027,1740.901001
2006/9/26,34830,12031.01953,15718.66992,1725.360962
2006/9/27,34799,12018.54004,15834.23047,1722.365967
2006/9/28,34973,11986.04004,15634.66992,1712.636963
2006/9/29,35819,12105.54981,15633.80957,1725.03894
2006/10/2,36106,12156.76953,15557.4502,1736.963013
2006/10/3,36486,12176.54004,15947.87012,1752.42395
2006/10/4,36449,12103.29981,16024.84961,1785.38501
2006/10/5,37058,12108.42969,16127.58008,1784.862061
2006/10/6,36438,12131.87988,16254.29004,1790.104004
2006/10/9,37749,12218.00977,16242.08984,1778.18103
2006/10/10,37977,12251.70996,16082.54981,1784.656006
2006/10/11,37940,12305.82031,16449.33008,1771.29895
2006/10/12,38406,12342.55957,16436.06055,1763.901001
2006/10/13,38655,12316.54004,null,1787.185059
2006/10/16,38322,12321.58984,16477.25,1792.253052
2006/10/17,null,12326.9502,16400.57031,1790.364014
2006/10/18,38850,12280.16992,16368.80957,1759.394043
2006/10/19,39229,12121.70996,16536.53906,1805.18103
2006/10/20,38898,12136.4502,16692.75977,1806.645996
2006/10/23,38686,12226.73047,16611.58984,1810.645996
2006/10/24,38920,12221.92969,16653,1807.175049
2006/10/25,38643,12194.12988,16551.35938,1809.656006
2006/10/26,39227,12283.84961,16651.63086,1837.993042
2006/10/27,39499,12331.59961,16788.82031,1855.713013
2006/10/30,39563,12309.25,16780.4707,1851.313965
2006/10/31,39645,12278.41016,16699.30078,1866.362061
2006/11/1,39328,12307.49023,16811.59961,1886.307007
2006/11/2,38900,12328.48047,16669.07031,1889.530029
2006/11/3,39263,12315.58008,16351.84961,1866.817017
2006/11/6,39930,12317.5,16399.39063,1896.482056
2006/11/7,null,12416.75977,16375.25977,1883.347046
2006/11/8,40435,12445.51953,16350.01953,1863.765015
2006/11/9,41247,12441.26953,null,1888.239014
2006/11/10,41048,12471.32031,16364.75977,1922.935059
2006/11/13,41334,12463.87012,16393.41016,1941.546997
2006/11/14,40815,12421.25,16215.74023,1971.792969
2006/11/15,40720,12343.21973,16198.57031,2017.279053
2006/11/16,40606,12407.62988,16112.42969,2037.552002
2006/11/17,41291,12510.57031,16022.49023,2041.35498
2006/11/20,null,12501.51953,16289.54981,2062.362061
2006/11/21,41162,12463.15039,16243.46973,2050.812012
2006/11/22,41029,12474.51953,16163.87012,2047.276978
2006/11/23,null,12480.69043,16091.73047,2038.720947
2006/11/24,41570,12398.00977,15725.94043,2054.091064
2006/11/27,41913,12423.49023,15734.13965,2099.289063
2006/11/28,42070,12416.59961,15914.23047,2102.049072
2006/11/29,41758,12442.16016,null,2161.647949
2006/11/30,40915,12514.98047,15734.59961,2173.284912
2006/12/1,41043,12556.08008,15885.37988,2156.604004
2006/12/4,41970,12582.58984,15855.25977,2156.75
2006/12/5,41932,12577.15039,16076.2002,2093.637939
2006/12/6,41327,12567.92969,16274.33008,2180.496094
2006/12/7,42654,12565.53027,16321.78027,2218.950928
2006/12/8,43157,12477.16016,16303.58984,2223.455078
2006/12/11,43096,12533.79981,16265.75977,2249.110107
2006/12/12,42909,12621.76953,16371.28027,2273.907959
2006/12/13,42978,12502.55957,16473.35938,2332.434082
2006/12/14,43297,12487.01953,16417.82031,2364.177002
2006/12/15,43018,12490.78027,16527.99023,2373.205078
2006/12/18,43285,12523.30957,16637.7793,2342.937988
2006/12/19,43755,12621.69043,16692.92969,2343.667969
2006/12/20,43596,12673.67969,16829.19922,2435.761963
2006/12/21,43509,12653.49023,16914.31055,2479.731934
2006/12/22,43590,12661.74023,16962.10938,2536.386963
2006/12/26,43502,12666.30957,16776.88086,2567.593994
2006/12/27,43385,12666.87012,17011.03906,2675.474121
