Date,TAIEX,DJIA,NASDAQ,SP500
2001/11/19,4548.629883,9959.709961,1903.199951,1150.339966
2001/11/20,4455.799805,9982.75,1941.22998,1157.420044
2001/11/21,4533.370117,9872.599609,1935.969971,1149.5
2001/11/22,4450.02002,9711.860352,1887.969971,1128.52002
2001/11/23,4519.080078,9829.419922,1933.26001,1140.199951
2001/11/26,4608.319824,9851.55957,1930.579956,1139.449951
2001/11/27,4580.330078,9763.959961,1904.900024,1129.900024
2001/11/28,4447.580078,9893.839844,1963.099976,1144.800049
2001/11/29,4465.830078,10114.29004,2046.839966,1170.349976
2001/11/30,4441.120117,10099.13965,2054.27002,1167.099976
2001/12/3,4646.609863,10049.45996,2021.26001,1158.310059
2001/12/4,4766.430176,9921.450195,1992.119995,1139.930054
2001/12/5,4924.560059,9888.370117,2001.930054,1136.76001
2001/12/6,5208.859863,9894.80957,2011.380005,1137.069946
2001/12/7,5333.930176,9766.450195,1946.51001,1119.380005
2001/12/10,5321.279785,9811.150391,1953.170044,1123.089966
2001/12/11,5273.970215,9891.969727,1987.449951,1134.359985
2001/12/12,5539.310059,9998.389648,2004.76001,1142.920044
2001/12/13,5407.540039,10070.49023,1982.890015,1149.560059
2001/12/14,5486.72998,9985.179688,1918.540039,1139.930054
2001/12/17,5456.149902,10035.33984,1945.829956,1144.890015
2001/12/18,5329.189941,10035.33984,1944.47998,1144.650024
2001/12/19,5221.959961,10088.13965,1960.699951,1149.369995
2001/12/20,5309.100098,10131.30957,1976.420044,1157.130005
2001/12/21,5109.240234,10136.99023,1987.26001,1161.02002
2001/12/24,5164.72998,10021.57031,1950.400024,1148.079956
2001/12/25,5372.810059,10073.40039,1979.25,1154.670044
2001/12/26,5392.430176,10172.13965,2044.27002,1165.27002
2001/12/27,5332.97998,10259.74023,2059.379883,1172.51001
2001/12/28,5398.279785,10197.04981,2037.099976,1164.890015
2001/12/31,5551.240234,10150.54981,2055.73999,1160.709961
2002/1/1,null,10094.08984,2044.890015,1155.140015
2002/1/2,5600.049805,10067.86035,2047.23999,1156.550049
2002/1/3,5526.319824,9987.530273,2022.459961,1145.599976
