Date,^JKSE,^HIS
2010/6/30,3069.280029,20536.49023
2010/7/31,3081.884033,22358.16992
2010/8/31,3501.295898,23096.32031
2010/9/30,3635.323975,23007.99023
2010/10/31,3531.210938,23035.44922
2010/11/30,3703.511963,23447.33984
2010/12/31,3409.166992,23338.01953
2011/1/31,3470.3479,23527.51953
2011/2/28,3678.674072,23720.81055
2011/3/31,3819.61792,23684.13086
2011/4/30,3836.967041,22398.09961
2011/5/31,3888.569092,22440.25
2011/6/30,4130.799805,20534.84961
2011/7/31,3841.730957,17592.41016
2011/8/31,3549.031982,19864.86914
2011/9/30,3790.846924,17989.34961
2011/10/31,3715.080078,18434.39063
2011/11/30,3821.991943,20390.49023
2011/12/31,3941.693115,21680.08008
2012/1/31,3985.209961,20555.58008
2012/2/29,4121.550781,21094.21094
2012/3/31,4180.731934,18629.51953
2012/4/30,3832.823975,19441.46094
2012/5/31,3955.576904,19796.81055
2012/6/30,4142.336914,19482.57031
2012/7/31,4060.331055,20840.38086
2012/8/31,4262.561035,21641.82031
2012/9/30,4350.291016,22030.39063
2012/10/31,4276.141113,22656.91992
2012/11/30,4316.687012,23729.5293
2012/12/31,4453.703125,23020.26953
2013/1/31,4795.789063,22299.63086
2013/2/28,4940.98584,22737.00977
2013/3/31,5034.070801,22392.16016
2013/4/30,5068.62793,20803.28906
2013/5/31,4818.89502,21883.66016
2013/6/30,4610.376953,21731.36914
2013/7/31,4195.088867,22859.85938
2013/8/31,4316.175781,23206.36914
2013/9/30,4510.630859,23881.28906
2013/10/31,4256.436035,23306.39063
2013/11/30,4274.176758,22035.41992
2013/12/31,4418.756836,22836.96094
2014/1/31,4620.21582,22151.06055
2014/2/28,4768.276855,22133.9707
2014/3/31,4840.145996,23081.65039
2014/4/30,4893.908203,23190.7207
2014/5/31,4878.582031,24756.84961
2014/6/30,5088.801758,24742.06055
2014/7/31,5136.862793,22932.98047
2014/8/31,5137.579102,23998.06055
2014/9/30,5089.546875,23987.44922
2014/10/31,5149.888184,23605.03906
2014/11/30,5226.946777,24507.05078
2014/12/31,5289.403809,24823.28906
2015/1/31,5450.293945,24900.89063
2015/2/28,5518.674805,28133
2015/3/31,5086.424805,27424.18945
2015/4/30,5216.378906,26250.0293
2015/5/31,4910.658203,24636.2793
2015/6/30,4802.528809,21670.58008
2015/7/31,4509.606934,20846.30078
2015/8/31,4223.908203,22640.03906
2015/9/30,4455.180176,21996.41992
2015/10/31,4446.458008,21914.40039
2015/11/30,4593.007813,
